month,town,resale_price
2018-09,YISHUN,365000
2018-09,YISHUN,367000
2018-09,YISHUN,370000
2018-09,YISHUN,375000
2018-09,YISHUN,375000
2018-09,YISHUN,380000
2018-09,YISHUN,395000
2018-09,YISHUN,400000
2018-09,YISHUN,400000
2018-09,YISHUN,405000
2018-09,YISHUN,440000
2018-09,YISHUN,450000
2018-10,SEMBAWANG,359888
2018-10,SEMBAWANG,375000
2018-10,WOODLANDS,392000
2018-10,WOODLANDS,409000
2018-10,WOODLANDS,410000
2018-10,WOODLANDS,420000
2018-10,WOODLANDS,420000
2018-10,WOODLANDS,425000
2018-10,WOODLANDS,438000
2018-10,WOODLANDS,445000
2018-10,YISHUN,325000
2018-10,YISHUN,350000
2018-10,YISHUN,365000
2018-10,YISHUN,368000
2018-10,YISHUN,368000
2018-10,YISHUN,383000
2018-10,YISHUN,385000
2018-10,YISHUN,390000
2018-10,YISHUN,400000
2018-10,YISHUN,402888
2018-10,YISHUN,410000
2018-10,YISHUN,415000
2018-10,YISHUN,423888
2018-10,YISHUN,425000
2018-10,YISHUN,428888
2018-10,YISHUN,449000
2018-11,SEMBAWANG,343000
2018-11,SEMBAWANG,353000
2018-11,SEMBAWANG,358000
2018-11,SEMBAWANG,370000
2018-11,WOODLANDS,355000
2018-11,WOODLANDS,405000
2018-11,WOODLANDS,420000
2018-11,WOODLANDS,420000
2018-11,WOODLANDS,430000
2018-11,WOODLANDS,438000
2018-11,WOODLANDS,438000
2018-11,WOODLANDS,450000
2018-11,YISHUN,338000
2018-11,YISHUN,348000
2018-11,YISHUN,366000
2018-11,YISHUN,370000
2018-11,YISHUN,375000
2018-11,YISHUN,380000
2018-11,YISHUN,385000
2018-11,YISHUN,385000
2018-11,YISHUN,390000
2018-11,YISHUN,400000
2018-11,YISHUN,400000
2018-11,YISHUN,402000
2018-12,SEMBAWANG,357000
2018-12,SEMBAWANG,335000
2018-12,SEMBAWANG,368000
2018-12,SEMBAWANG,365000
2018-12,SEMBAWANG,365000
2018-12,WOODLANDS,365000
2018-12,WOODLANDS,412000
2018-12,WOODLANDS,345000
2018-12,WOODLANDS,360000
2018-12,WOODLANDS,370000
2018-12,WOODLANDS,396500
2018-12,WOODLANDS,425000
2018-12,WOODLANDS,435000
2018-12,WOODLANDS,411000
2018-12,WOODLANDS,375000
2018-12,YISHUN,600000
2018-12,YISHUN,609888
2018-12,YISHUN,368000
2018-12,YISHUN,360000
2018-12,YISHUN,530000
2018-12,YISHUN,413000
2018-12,YISHUN,351800
2018-12,YISHUN,358000
2018-12,YISHUN,405000
2018-12,YISHUN,365000
2018-12,YISHUN,335000
2018-12,YISHUN,385000
2019-01,SEMBAWANG,330000
2019-01,SEMBAWANG,338000
2019-01,SEMBAWANG,342000
2019-01,SEMBAWANG,343000
2019-01,SEMBAWANG,355000
2019-01,SEMBAWANG,378000
2019-01,WOODLANDS,335000
2019-01,WOODLANDS,390000
2019-01,WOODLANDS,400000
2019-01,WOODLANDS,405000
2019-01,WOODLANDS,407000
2019-01,WOODLANDS,442000
2019-01,WOODLANDS,465000
2019-01,YISHUN,350000
2019-01,YISHUN,350000
2019-01,YISHUN,365000
2019-01,YISHUN,380000
2019-01,YISHUN,385000
2019-01,YISHUN,388000
2019-01,YISHUN,390000
2019-01,YISHUN,398000
2019-01,YISHUN,398000
2019-01,YISHUN,400888
2019-01,YISHUN,403000
2019-01,YISHUN,405000
2019-01,YISHUN,555000
2019-01,YISHUN,582500
2019-01,YISHUN,585000
2019-01,YISHUN,610000
2019-02,SEMBAWANG,356000
2019-02,SEMBAWANG,368000
2019-02,SEMBAWANG,370000
2019-02,SEMBAWANG,403888
2019-02,SEMBAWANG,408000
2019-02,WOODLANDS,355000
2019-02,WOODLANDS,365000
2019-02,WOODLANDS,390000
2019-02,WOODLANDS,390888
2019-02,WOODLANDS,395000
2019-02,WOODLANDS,400000
2019-02,WOODLANDS,400888
2019-02,WOODLANDS,412000
2019-02,WOODLANDS,435000
2019-02,YISHUN,375000
2019-02,YISHUN,383000
2019-02,YISHUN,386000
2019-02,YISHUN,388000
2019-02,YISHUN,388000
2019-02,YISHUN,410000
2019-02,YISHUN,415000
2019-02,YISHUN,550000
2019-02,YISHUN,618000
2019-02,YISHUN,620000
2019-02,YISHUN,620000
2019-03,SEMBAWANG,335000
2019-03,SEMBAWANG,335000
2019-03,SEMBAWANG,340000
2019-03,SEMBAWANG,360000
2019-03,SEMBAWANG,360000
2019-03,SEMBAWANG,375000
2019-03,SEMBAWANG,390000
2019-03,SEMBAWANG,393188
2019-03,WOODLANDS,360000
2019-03,WOODLANDS,375000
2019-03,WOODLANDS,383000
2019-03,WOODLANDS,385000
2019-03,WOODLANDS,400000
2019-03,WOODLANDS,400000
2019-03,WOODLANDS,405000
2019-03,WOODLANDS,410000
2019-03,WOODLANDS,410000
2019-03,WOODLANDS,412000
2019-03,WOODLANDS,425000
2019-03,WOODLANDS,429000
2019-03,WOODLANDS,458888
2019-03,YISHUN,360000
2019-03,YISHUN,375000
2019-03,YISHUN,380000
2019-03,YISHUN,383000
2019-03,YISHUN,385000
2019-03,YISHUN,385000
2019-03,YISHUN,390000
2019-03,YISHUN,390000
2019-03,YISHUN,395000
2019-03,YISHUN,398000
2019-03,YISHUN,398000
2019-03,YISHUN,410000
2019-03,YISHUN,538000
2019-03,YISHUN,565000
